ZIP census tabulation area,ZIP Code name,Total population (2020 Census)
601,"Adjuntas, PR",17242
602,"Aguada, PR",37548
603,"Aguadilla, PR",49804
606,"Maricao, PR",5009
610,"Añasco, PR",25731
611,"Utuado, Añasco, Angeles, PR (PO boxes)",1671
612,"Arecibo, PR",62425
616,"Bajadero, PR",9828
617,"Barceloneta, PR",22541
622,"Boqueron, PR",7838
623,"Cabo Rojo, PR",39320
624,"Peñuelas, PR",21709
627,"Camuy, PR",32873
631,"Lares, Castañer, PR (PO boxes)",1414
636,"San Germán, Rosario, PR (PO boxes)",555
637,"Sabana Grande, PR",23124
638,"Ciales, PR",18109
641,"Utuado, PR",24292
646,"Dorado, PR",36272
647,"Guánica Ensenada, PR",4611
650,"Florida, PR",13637
652,"Arecibo, Garrochales, PR",4020
653,"Guánica, PR",9244
656,"Guayanilla, PR",17965
659,"Hatillo, PR",37421
660,"Hormigueros, PR",15448
662,"Isabela, PR",40770
664,"Jayuya, PR",15066
667,"Lajas, PR",23522
669,"Lares, PR",27833
670,"Las Marías, PR",8828
674,"Manatí, PR",39345
676,"Moca, PR",36706
677,"Rincón, PR",15379
678,"Quebradillas, PR",25410
680,"Mayaguez, PR",46056
682,"Mayaguez, PR",28299
683,"San Germán, PR",29788
685,"San Sebastian, PR",40294
687,"Morovis, PR",28727
688,"Arecibo, Sabana Hoyos, PR",12443
690,"Aguadilla, San Antonio, PR",5326
692,"Vega Alta, PR",32873
693,"Vega Baja, PR",56095
694,"Vega Baja, PR (PO boxes)",231
698,"Yauco, PR",33774
703,"Aguas Buenas, PR",25332
704,"Guayama, Aguirre, PR",6865
705,"Aibonito, PR",24467
707,"Maunabo, PR",10544
714,"Arroyo, PR",15802
715,"Ponce, Mercedita, PR",2299
716,"Ponce, PR",28423
717,"Ponce, PR",14199
718,"Naguabo, PR",23290
719,"Naranjito, PR",30063
720,"Orocovis, PR",20331
723,"Patillas, PR",15983
725,"Caguas, PR",77223
727,"Caguas, PR",54207
728,"Ponce, PR",36675
729,"Canovanas, PR",47393
730,"Ponce, PR",30521
731,"Ponce, PR",12292
735,"Ceiba, PR",11299
736,"Cayey, PR",45833
738,"Fajardo, PR",30706
739,"Cidra, PR",34964
740,"Fajardo, Puerto Real, PR",1492
741,"Humacao, Punta Santiago, PR",3526
745,"Canóvanas, Río Grande, PR",47718
751,"Salinas, PR",19369
754,"San Lorenzo, PR",36673
757,"Santa Isabel, PR",20183
765,"Vieques, PR",8249
766,"Villalba, PR",22354
767,"Yabucoa, PR",30646
769,"Coamo, PR",34163
771,"Las Piedras, PR",34761
772,"Loiza, PR",17936
773,"Luquillo, PR",17772
775,"Culebra, PR (PO boxes)",1792
777,"Juncos, PR",37717
778,"Gurabo, PR",40585
780,"Ponce, Coto Laurel, PR",14934
782,"Comerio, PR",17965
783,"Corozal, PR",34093
784,"Guayama, PR",36313
786,"Aibonito, La Plata, PR (PO boxes)",273
791,"Humacao, PR",47260
794,"Barranquitas, PR",28791
795,"Juana Díaz, PR",43745
901,"San Juan, Old San Juan, PR",6218
906,"San Juan, Puerta de Tierra, PR (PO boxes)",165
907,"San Juan, Santurce, PR",16864
909,"San Juan, Fernández Juncos, PR",6987
911,"San Juan, Loíza Street Station, PR",7496
912,"San Juan, PR",5786
913,"San Juan, PR",7261
915,"San Juan, Barrio Obrero, PR",25075
917,"San Juan, Hato Rey, PR",17319
918,"San Juan, PR",17439
920,"San Juan, Caparra Heights, PR",14798
921,"San Juan, PR",32062
